incident_number,true_label,error_category,gpt4o_mini_pred,llama3_8b_pred,mistral_7b_pred,mixtral_8x7b_pred,t5xl_lora_pred,t5_large_pred,t5_base_pred,mt5_base_pred,nt5_small_pred,indicbart_pred,conflibert_poisson_pred,error_note,incident_summary
809120502.0,3,4. Succumbed to injuries,1,1,1,1,1,1,1,1,1,1,1,Narrative: 1 killed + 2 injured; both injured apparently died; all models count only 1,Maoists explode bombs targeting the vehicle of an investigation team near Sonadeni in the Giridih District in which the driver of the vehicle is killed and two other members of the team are injured.
806300801.0,5,5. T5 overcount / succumbed to injuries,5,5,6,5,6,7,4,1,4,4,3,"Constables died of injuries ('succumbed'); Mistral overcounts to 6, T5-XL to 6, T5-Large to 7; GPT-4o-mini and Llama correctly count 5","A Deputy Superintendent of Police (DSP) and four constables were killed in a landmine blast triggered by suspected CPI-Maoist cadres at Pundigiri village in the Bundu area, 50-kilometres from State capital Ranchi. While the DSP and two constables were killed on the spot, two others succumbed to injuries when they were being shifted to the hospital. Another critically injured Police personnel was admitted to the hospital. The Police personnel were returning to the headquarters after conducting raids in the Bundu area. Jharkhand Police Deputy Inspector General (DIG) RK Mallik said, ""The Maoists had planted a landmine on the return route of the Police party and set it off when the vehicle passed through that point."""
305171501.0,5,5. T5 overcount / succumbed to injuries,5,5,5,5,5,6,4,3,5,3,2,Narrative includes 'succumbed to injuries'; T5-Large overcounts to 6; all other models correct at 5,"Three Policemen and two CPI-Maoist cadres were killed in an encounter in Bijapur District. The encounter took place early in the morning near Ponjed at Mirjur in Gangaloor Police Station area where a team of STF and District Police Force was conducting an anti-Maoist operation. STF Constable Sitaram Kunjam and Assistant Constable of the District Force Moti Ram were killed on the spot. Another Constable Payku Ram Poyam succumbed to his injuries while he was being taken to Jagdalpur. Among the Maoist killed was a senior guerilla fighter Hemla Masa alias Vijay, 'commander of Company 2' of West Bastar Division of CPI-Maoist. ADG (Naxal Operations), R K Vij, said: ""Fifteen rounds of AK-47, nine shells of Under Barrel Grenade Launcher, a 12 bore rifle and a wireless set were recovered from him."" Speaking on rebel presence in the area, Vij said the area was ""highly-affected"". ""Our team had gone for an operation when the Maoists opened fire at them. Our jawans retaliated. We have recovered bodies of two uniformed Maoists,"" he added."
304100901.0,13,6. LLM-specific error,13,13,10,13,13,13,13,10,14,10,22,Mistral counts 10 CRPF only; misses 3 Maoist deaths ('three suspected CPI-Maoist cadres killed'),"10 CRPF personnel, including a Deputy Commandant, and three suspected CPI-Maoist cadres were killed during an encounter near Minta village under Chintagufa Police Station in Dantewada District. Deputy Commandant Diwakar Tiwari, a sub-inspector, four head constables and four constables were killed in the encounter, while 11 others, including an Assistant Commandant, were injured, an unnamed CRPF officer said in New Delhi. The incident occurred in the forests of Kotampalli when troops of the 55th battalion of the CRPF, who were on a patrol in the area, walked into an ambush set by the CPI-Maoist leading to a gun battle. One AK-47 rifle and a few wireless sets were also recovered from the encounter site. Times of India adds that the two-hour encounter started around 1 pm when the CRPF personnel were returning to their camps in two batches after a routine patrol, said Deputy Inspector General of Police (anti-Naxalite operations) Pawan Deo."
802140801.0,7,6. LLM-specific error,7,12,7,7,7,9,7,7,7,3,9,"Llama overcounts to 12; picks up extra numbers from multi-group narrative (weapons, group sizes)","Seven CPI-Maoist cadres, including Vikash, an accused in the killing of Jharkhand Mukti Morcha (JMM) Member of Parliament Sunil Mahto, were killed in an encounter with security forces at Phuljore in the East Singhbhum District. Deputy Inspector General of Police Manoj Mishra stated that two women cadres were among the slain Maoists. The encounter followed an exchange of fire between the Maoists and the Nagarik Suraksha Samiti (NSS), a vigilance organisation formed by villagers with support of the District Police, in which two Maoists were killed. When a joint team of the CRPF and local Police personnel rushed to the area to assist the NSS, an encounter took place with the Maoists in which five extremists were killed. Eight weapons and some live cartridges were recovered from the encounter site."
306280601.0,6,6. LLM-specific error,6,0,6,6,6,6,6,6,6,3,6,Llama-3.1-8B returns 0 on clear 'killed at least six Maoists'; all other models correct,"Personnel of the Central Reserve Police Force killed at least six Maoists and arrested three others, including a woman cadre, in an encounter in the Bhairamgarh area of Dantewada District."
303170701.0,5,6. LLM-specific error,5,5,4,5,5,5,5,5,5,5,4,Mistral counts only 4 recovered bodies; 'four carried away' phrase not counted (undercount by 1),"Police personnel during an encounter killed five CPI-Maoist cadres in the forested Farsegarh area of Bijapur Police District of southern Chhattisgarh. Following the encounter that lasted for two hours, ""one body was recovered while the ultras carried away four bodies into the forest"", a Police official said."
106191401.0,3,6. LLM-specific error,3,4,3,3,3,3,3,3,3,3,2,Llama overcounts to 4 on list of 3 named individuals,"Three CPI-Maoist cadres, including Jana Babu Rao alias Ashok (48), district 'central committee member' of Nallamalla range, Bharathi (38), wife of Ashok and Vimalakka (35), were killed in an encounter with a Police party in Nallamalla forest range at Kallagunta village in Yerragondabalem mandal of Prakasam District near Guntur District border."
2109140901.0,3,6. LLM-specific error,3,3,4,3,3,3,3,3,3,3,2,Mistral overcounts to 4 on list of 3 named individuals; all other models correct,"Three workers of the ruling CPI-M, including a school teacher, were killed by cadres of the CPI-Maoist in the Lalgarh area of West Midnapore District. Kartick Mahato (38), a temporary-teacher in Jamda High School at Belatikri in Lalgrah, was shot dead in the morning by six to seven motorcycle-borne Maoists after barging into the classroom when he was taking a class. They also took away his motorbike. A few minutes later, the CPI-M's Salbani Branch office local committee Secretary Sambhu Mahato was shot dead along with one of his associate Anadi Mahato while they were sitting in a roadside tea-stall at Burikarli by the Maoists, the Police said. While Sambhu, a resident of remote Guripal village, died on the spot, his associate died in a local hospital."
1205300501.0,8,7. T5-Large overcount (multi-group arithmetic),8,8,8,8,8,9,8,7,7,7,10,T5-Large overcounts to 9; all LLMs correct; double-counts one group in multi-group enumeration,Seven Police personnel and a civilian are killed in a landmine blast triggered by the CPI-Maoist on Deori-Chichgad road in the Gondia District.
1204121301.0,7,7. T5-Large overcount (multi-group arithmetic),7,7,7,7,7,9,4,4,6,4,3,T5-Large overcounts to 9; all LLMs correct; double-counts one group in multi-group enumeration,"Four CPI-Maoist cadres, a Policeman and two villagers were killed in an encounter between Maoists and Commandos of an anti-Naxal unit, C-60, in a forest of Dhanora in Gadchiroli District."
306010501.0,6,7. T5-Large overcount (multi-group arithmetic),6,6,6,6,6,7,7,1,5,4,2,T5-Large overcounts to 7; all LLMs correct; double-counts one group in multi-group enumeration,"Assistant Commander of the CRPF, R K Mishra, and five other CRPF personnel are killed when the Maoists ambushed a CRPF combing party near Injaram in Dantewada District."
2108050901.0,4,8. Compound narrative / duplicated text,4,6,0,0,4,3,3,3,3,3,2,Incident summary contains two separate incidents; second incident text duplicated verbatim; Llama overcounts to 6; Mistral/Mixtral return 0; GPT-4o-mini and T5-XL correctly extract 4,"A group of around 70 cadres of the CPI-Maoist, including some women, killed Shankar Das Adhikary (38), a supporter of the ruling CPI-M, at Chilgora village, about 20 kilometers from Lalgarh in West Midnapore District. The Maoists barged into his house and dragged him out around 2.30a.m. (IST). A ""people's court"" was held in the village at which he was awarded 'death sentence' for his alleged connection with the Police, and then shot dead. A statement issued by Maoist leader Bikas through SMS said ""Extreme punishment has been meted out to Shankar Adhikary. After the arrival of the joint force, the Chandra camp was his regular address. He was also accused of exploitation and corruption."" Cadres of the CPI-Maoist shot dead three persons at Aankro village, about 25 kilometers from Lalgarh in the West Midnapore District. A group of armed assailants dragged the victims, identified as Ashim Soren, Shaktipada Murmu and Budhu Hansda, out from a local cold storage where they were employed. Villagers reportedly heard gunshots at night. The bullet-riddled dead bodies of the victims were later found in a paddy field. The deceased who were residents of the neighbouring Maguria were supporters of the Jharkhand Party (Naren) and were also associated with the Gana Pratirodh Committee (People's Resistance Committee) that was set up in December 2008 to resist Maoist activities in the region.Cadres of the CPI-Maoist shot dead three persons at Aankro village, about 25 kilometers from Lalgarh in the West Midnapore District. A group of armed assailants dragged the victims, identified as Ashim Soren, Shaktipada Murmu and Budhu Hansda, out from a local cold storage where they were employed. Villagers reportedly heard gunshots at night. The bullet-riddled dead bodies of the victims were later found in a paddy field. The deceased who were residents of the neighbouring Maguria were supporters of the Jharkhand Party (Naren) and were also associated with the Gana Pratirodh Committee (People's Resistance Committee) that was set up in December 2008 to resist Maoist activities in the region."
307090702.0,44,9. Seq2seq-specific error,44,44,40,44,48,30,7,24,24,24,34,"T5-XL=48, T5-Large=30 vs true=44; LLMs mostly correct","At least 24 security force personnel and 20 CPI-Maoist cadres, were killed in a gun battle that occurred when a joint team of the CRPF and Chhattisgarh Police personnel were combing the Elampatti-Regadgatta forest area of Dantewada District. The killed security force personnel included 16 CRPF personnel, including an Assistant Commandant, six special Police officers (SPOs) and two from Dantewada District forces."
308131301.0,4,9. Seq2seq-specific error,4,4,4,3,3,3,3,3,3,3,2,"T5-XL=3, T5-Large=3 vs true=4; LLMs mostly correct",Three Chhattisgarh Armed Force troopers including a head constable and a CPI-Maoist cadre were killed in an hour long encounter between the Maoists and security personnel at Kaushalnagar of Bastar District.
2111270901.0,3,9. Seq2seq-specific error,3,4,4,2,3,2,2,2,2,2,2,"T5-XL=3, T5-Large=2 vs true=3; LLMs mostly correct","Suspected CPI-Maoist cadres killed two Policemen by triggering a landmine blast near Lalgarh in the West Midnapore District. The insurgents triggered a landmine blast when some members of joint Security Forces (SFs) were walking from Pirakata Police camp to a forest near Burisole for an operation, Police said. The Maoists also fired at the patrolling party just after the explosion, following which the SFs forces retaliated. ""Two security men, Alok Mondal and Srimanta Banerjee, of the Indian Reserve Battalion (IRB) were fatally injured in the landmine explosion. The duo was rushed to Midnapore Medical College and Hospital where they were declared brought dead,"" West Midnapore Superintendent of Police Manoj Kumar Verma said. The condition of three others was serious, he said. Local Police put the number of injured to eight.
Suspected Maoists shot dead a local CPI-M leader in the same District, Police said. According to in the sources, the incident took place in Jhargram Sub-Division’s Jitushol area in the night when a group of insurgents killed Karuna Mahato. ""Mahato was a CPI-M gram panchayat (village council) member in Shalboni region. The Maoist ultras called Mahato from his residence late Friday night and took him to a nearby forest. He was found dead this (Saturday) morning on National Highway-9 near Kalaboni forest region,"" a District Police officer said. Police also recovered a few Maoist posters from the spot which claimed Mahato was a Police informer."
