incident_summary,dupe_count,incident_number,state,district,block,village_name,other_areas,constituency,longitude,latitude,year,date,perpetrator,first_action,second_action,third_action,action_successful,first_target,second_target,first_civilian_target,second_civilian_target,total_fatalities,govt_official_fatalities,civilian_fatalities,security_fatalities,maoist_fatalities,other_armed_grp_fatalities,total_injuries,govt_official_injuries,civilian_injuries,security_injuries,maoist_injuries,non_maoist_armed_group_injuries,property_damage,value_property_damage,total_abducted,total_arrests,commander_arrests,cadre_arrests,sympathizer_arrests,unknown_arrests,total_surrenders,commander_surrenders,cadre_surrenders,sympathizer_surrenders,unknown_surrenders
"A CPI-Maoist cadre was killed in an exchange of fire with Para-military troopers assisted by Chhattisgarh Police in Edanar forest at Tadoki area in Kanker District. The Police arrested two Maoist cadres and recovered live bombs, arms, detonators and wires from the encounter site. Also reported that the Police destroyed the temporary Maoist camp set up there.",3,308031203,Chhattisgarh,Kanker,NA,Tadoki area,NA,Antagarh,19.9567,81.1639,2012,2012-08-03T00:00:00Z,Security,Facility/Infrastructure Attack,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Destroyed the temporary Maoist camp,0,0,0,0,0,0,0,0,0,0,0
"A huge cache of ammunition and communication devices were recovered from the CPI-Maoist hideouts during raids conducted by STF at the Districts of Hooghly, South 24 Parganas and North 24 Parganas.",3,2112071001,West Bengal,Hooghly,NA,NA,NA,NA,NA,NA,2010,2010-12-07T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"A huge cache of ammunition and communication devices were recovered from the CPI-Maoist hideouts during raids conducted by STF at the Districts of Hooghly, South 24 Parganas and North 24 Parganas.",3,2112071002,West Bengal,South 24 Parganas,NA,NA,NA,NA,NA,NA,2010,2010-12-07T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"A huge cache of ammunition and communication devices were recovered from the CPI-Maoist hideouts during raids conducted by STF at the Districts of Hooghly, South 24 Parganas and North 24 Parganas.",3,2112071003,West Bengal,North 24 Parganas,NA,NA,NA,Basirhat Dakshin,NA,NA,2010,2010-12-07T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Four persons, including a sarpanch (head of village level self-government institution) were abducted by cadres of the CPI-Maoist cadres from tribal villages in the Bhadrachalam division of Khammam District. The sub-divisional Police officer of Bhadrachalam, Shashidhar Raj, said that Khanithi Narsaiah, sarpanch of Kurnavalli village, Karam Kannaiah from Erraboru village and Sunnam Venkat Rao and Sunnam Rambabu from Bathinapalli village were taken away from their home by the Maoists at around midnight. Unofficial sources, however, maintained that the total number of abducted persons was 11 and they were abducted by Maoist dalams which came from the neighbouring forests pockets of south Bastar in Chhattisgarh.",3,105190801,Andhra Pradesh,Khammam,Bhadrachalam,Kurnavalli,NA,Bhadrachalam,17.12327777777778,80.43008333333334,2008,2008-05-19T00:00:00Z,Maoist,Hijacking/Kidnapping,None,None,Yes,Government Officials,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,1,0,0,0,0,0,0,0,0,0,0
"Four persons, including a sarpanch (head of village level self-government institution) were abducted by cadres of the CPI-Maoist cadres from tribal villages in the Bhadrachalam division of Khammam District. The sub-divisional Police officer of Bhadrachalam, Shashidhar Raj, said that Khanithi Narsaiah, sarpanch of Kurnavalli village, Karam Kannaiah from Erraboru village and Sunnam Venkat Rao and Sunnam Rambabu from Bathinapalli village were taken away from their home by the Maoists at around midnight. Unofficial sources, however, maintained that the total number of abducted persons was 11 and they were abducted by Maoist dalams which came from the neighbouring forests pockets of south Bastar in Chhattisgarh.",3,105190802,Andhra Pradesh,Khammam,Bhardrachalam,Erraboru,NA,Bhadrachalam,17.667416666666668,80.89694444444446,2008,2016-05-19T00:00:00Z,Maoist,Hijacking/Kidnapping,None,None,Yes,Government Officials,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,1,0,0,0,0,0,0,0,0,0,0
"Four persons, including a sarpanch (head of village level self-government institution) were abducted by cadres of the CPI-Maoist cadres from tribal villages in the Bhadrachalam division of Khammam District. The sub-divisional Police officer of Bhadrachalam, Shashidhar Raj, said that Khanithi Narsaiah, sarpanch of Kurnavalli village, Karam Kannaiah from Erraboru village and Sunnam Venkat Rao and Sunnam Rambabu from Bathinapalli village were taken away from their home by the Maoists at around midnight. Unofficial sources, however, maintained that the total number of abducted persons was 11 and they were abducted by Maoist dalams which came from the neighbouring forests pockets of south Bastar in Chhattisgarh.",3,105190803,Andhra Pradesh,Khammam,Bhadrachalam,Bathinapalli,NA,Bhadrachalam,18.092555555555553,80.93944444444445,2008,2008-05-19T00:00:00Z,Maoist,Hijacking/Kidnapping,None,None,Yes,Government Officials,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,2,0,0,0,0,0,0,0,0,0,0
"High powered explosive materials, two big landmines, five thousand metres of electric wires, life saving drugs, khaki uniforms, woollens, liquids used for landmines explosion in big jar, were seized by the police during a three-day joint operation against the Maoists in the districts of Munger, Lakhisarai and Jamui. 2 Maoists were arrested in Munger, and 1 was arrested in Lakhisarai.",3,202211501,Bihar,Munger,Dharhara,Kumartari,Barmasiya; Haveli Kharagpur police station,Jamalpur,25.058222222222224,86.8728611111111,2015,2015-01-21T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",Arrest,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,2,0,2,0,0,0,0,0,0,0
"High powered explosive materials, two big landmines, five thousand metres of electric wires, life saving drugs, khaki uniforms, woollens, liquids used for landmines explosion in big jar, were seized by the police during a three-day joint operation against the Maoists in the districts of Munger, Lakhisarai and Jamui. 2 Maoists were arrested in Munger, and 1 was arrested in Lakhisarai.",3,202211502,Bihar,Lakhisarai,NA,Machchi tola,NA,NA,NA,NA,2015,2015-02-21T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",Arrest,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,0,1,0,0,0,0,0,0,0
"High powered explosive materials, two big landmines, five thousand metres of electric wires, life saving drugs, khaki uniforms, woollens, liquids used for landmines explosion in big jar, were seized by the police during a three-day joint operation against the Maoists in the districts of Munger, Lakhisarai and Jamui. 2 Maoists were arrested in Munger, and 1 was arrested in Lakhisarai.",3,202211503,Bihar,Jamui,NA,NA,NA,NA,NA,NA,2015,2015-02-21T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Member of a CPI-Maoist action team Chikkudu Chinna Rao alias Sudheer and another sympathiser of the outfit Pongi Bhaskara Rao were arrested near Mangabanda in Pedabayalu mandal in the Visakhapatnam District. Both were charged with attempting to murder a jeweller at Paderu on the night of September 18. Another action team member Korra Rambabu, who also participated in the attack, is still at large. The jeweller M.C. Reddy was injured in the attack.",3,109230801,Andhra Pradesh,Visakhapatnam,Pedabayalu,Magabanda,NA,Araku Valley,18.285861111111114,82.58852777777777,2008,2008-09-23T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,2,0,1,1,0,0,0,0,0,0
"Member of a CPI-Maoist action team Chikkudu Chinna Rao alias Sudheer and another sympathiser of the outfit Pongi Bhaskara Rao were arrested near Mangabanda in Pedabayalu mandal in the Visakhapatnam District. Both were charged with attempting to murder a jeweller at Paderu on the night of September 18. Another action team member Korra Rambabu, who also participated in the attack, is still at large. The jeweller M.C. Reddy was injured in the attack.",3,109190801,Andhra Pradesh,Viskhapatnam,NA,NA,NA,NA,NA,NA,2008,2008-09-18T00:00:00Z,Maoist,Armed Assault,None,None,Yes,Civilians,No Target,Businessman,NA,0,0,0,0,0,0,1,0,1,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Member of a CPI-Maoist action team Chikkudu Chinna Rao alias Sudheer and another sympathiser of the outfit Pongi Bhaskara Rao were arrested near Mangabanda in Pedabayalu mandal in the Visakhapatnam District. Both were charged with attempting to murder a jeweller at Paderu on the night of September 18. Another action team member Korra Rambabu, who also participated in the attack, is still at large. The jeweller M.C. Reddy was injured in the attack.",3,109230802,Andhra Pradesh,Visakhapatnam,NA,NA,NA,NA,NA,NA,2008,2008-09-23T00:00:00Z,Maoist,Surrender,None,None,Yes,No Target,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,1,0,1,0,0
"One villager was killed by CPI-Maoist cadres, suspecting him to be a 'Police informer', at Katapali village under Maithili Police Station in Malkangiri District.",3,1410021601,Odisha,Malkangiri,Mathili,Katapali,NA,Chitrakonda,18.5435,82.223,2016,2016-10-02T00:00:00Z,Maoist,Hijacking/Kidnapping,Armed Assault,None,Yes,Civilians,No Target,Police Informer,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"One villager was killed by CPI-Maoist cadres, suspecting him to be a 'Police informer', at Katapali village under Maithili Police Station in Malkangiri District.",3,1410021602,Odisha,Malkangiri,Mathili,Katapali,NA,Chitrakonda,18.5435,82.223,2016,2016-10-02T00:00:00Z,Maoist,Hijacking/Kidnapping,Armed Assault,None,Yes,Civilians,No Target,Police Informer,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"One villager was killed by CPI-Maoist cadres, suspecting him to be a 'Police informer', at Katapali village under Maithili Police Station in Malkangiri District.",3,1410021603,Odisha,Malkangiri,Mathili,Katapali,NA,Chitrakonda,18.5435,82.223,2016,2016-10-02T00:00:00Z,Maoist,Hijacking/Kidnapping,Armed Assault,None,Yes,Civilians,No Target,Police Informer,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Police arrested a woman CPI-Maoist cadre, identified as Jamuna alias Sapna, from in Siwni village in the Kanker District, and seized two bombs from Durgkondal area on the basis of her disclosure. Police also recovered Maoist literature and INR 80000 from her house in the capital Raipur on December 17.",3,312150701,Chhattisgarh,Kanker,NA,Siwni,NA,Bhanupratappur,20.393,80.833,2007,2007-12-15T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,0,1,0,0,0,0,0,0,0
"Police arrested a woman CPI-Maoist cadre, identified as Jamuna alias Sapna, from in Siwni village in the Kanker District, and seized two bombs from Durgkondal area on the basis of her disclosure. Police also recovered Maoist literature and INR 80000 from her house in the capital Raipur on December 17.",3,312150702,Chhattisgarh,Kanker,NA,NA,Durgkondal,Antagarh,20.166904449,80.8003,2007,2007-12-15T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Police arrested a woman CPI-Maoist cadre, identified as Jamuna alias Sapna, from in Siwni village in the Kanker District, and seized two bombs from Durgkondal area on the basis of her disclosure. Police also recovered Maoist literature and INR 80000 from her house in the capital Raipur on December 17.",3,312150703,Chhattisgarh,Raipur,NA,NA,NA,NA,NA,NA,2007,2007-12-15T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
Suspected CPI-Maoist cadres blasted two towers of Reliance Communications at Bishunpur and Manjhaulia villages in the Gaya District. Another communication tower belonging to Airtel was also blasted at Chaugain village under Roshanganj Police station limits in the same District.,3,209280801,Bihar,Gaya,Amas,Bishunpur,NA,Sherghati,24.535722222222223,84.70161111111112,2008,2008-09-28T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,Yes,Private Property,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Yes,mobile service tower destroyed,0,0,0,0,0,0,0,0,0,0,0
Suspected CPI-Maoist cadres blasted two towers of Reliance Communications at Bishunpur and Manjhaulia villages in the Gaya District. Another communication tower belonging to Airtel was also blasted at Chaugain village under Roshanganj Police station limits in the same District.,3,209280803,Bihar,Gaya,Amas,Manjhaulia,NA,Sherghati,24.627555555555556,84.60494444444444,2008,2008-09-28T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,Yes,Private Property,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Yes,mobile service tower destroyed,0,0,0,0,0,0,0,0,0,0,0
Suspected CPI-Maoist cadres blasted two towers of Reliance Communications at Bishunpur and Manjhaulia villages in the Gaya District. Another communication tower belonging to Airtel was also blasted at Chaugain village under Roshanganj Police station limits in the same District.,3,209280804,Bihar,Gaya,Bankey Bazaar,Chaugain,"Chaugain village, Roshanganj Police station",Imamganj,24.558194444444446,84.71208333333334,2008,2008-09-28T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,Yes,Private Property,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Yes,mobile service tower detroyed,0,0,0,0,0,0,0,0,0,0,0
Suspected cadres of the CPI-Maoist set ablaze a road construction machinery between Vanpalli and Garjanapalli villages of Yellareddypet mandal in the Karimnagar District,3,101110801,Andhra Pradesh,Karimnagar,Yellareddypet,Vanpalli,NA,Sircilla,16.684166666666666,81.94433333333333,2008,2008-01-11T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,Yes,Government Infrastructure,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Road construction machinery set ablaze,0,0,0,0,0,0,0,0,0,0,0
Suspected cadres of the CPI-Maoist set ablaze a road construction machinery between Vanpalli and Garjanapalli villages of Yellareddypet mandal in the Karimnagar District,3,101110802,Andhra Pradesh,Karimnagar,NA,NA,NA,NA,NA,NA,2008,2008-01-11T00:00:00Z,Security,Arrest,"Seizure of Money, Weapons, Property etc",None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,2,0,2,0,0,0,0,0,0,0
Suspected cadres of the CPI-Maoist set ablaze a road construction machinery between Vanpalli and Garjanapalli villages of Yellareddypet mandal in the Karimnagar District,3,101130801,Andhra Pradesh,Adilabad,NA,NA,NA,NA,NA,NA,2008,2008-01-13T00:00:00Z,Maoist,Surrender,None,None,Yes,No Target,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,2,0,2,0,0
"Three CPI-Maoist cadres wanted in connection with several incidents of Maoist violence and criminal cases were arrested from Rohtas, Sheohar and Munger Districts. Maoists 'area commander', identified as Arvind Ram alias Kaushalji was arrested by the Police from Chutia village in Rohtas District, SP Manu Maharaj said. Ram, a native of Navadih village, was said to be the 'area commander' of Tilouthu-Nauhatta region of the Maoist-infested District, Maharaj said.",3,201291201,Bihar,Banka,Shambhuganj,Chutia,NA,Amarpur,25.040361111111114,86.76333333333334,2012,2012-01-29T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,1,0,0,0,0,0,0,0,0
"Three CPI-Maoist cadres wanted in connection with several incidents of Maoist violence and criminal cases were arrested from Rohtas, Sheohar and Munger Districts. Maoists 'area commander', identified as Arvind Ram alias Kaushalji was arrested by the Police from Chutia village in Rohtas District, SP Manu Maharaj said. Ram, a native of Navadih village, was said to be the 'area commander' of Tilouthu-Nauhatta region of the Maoist-infested District, Maharaj said.",3,201291202,Bihar,Sheohar,NA,NA,"Tilouthua Nauhuttava, Navadih village",NA,26.06077777777778,84.24819444444445,2012,2012-01-29T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,1,0,0,0,0,0,0,0,0
"Three CPI-Maoist cadres wanted in connection with several incidents of Maoist violence and criminal cases were arrested from Rohtas, Sheohar and Munger Districts. Maoists 'area commander', identified as Arvind Ram alias Kaushalji was arrested by the Police from Chutia village in Rohtas District, SP Manu Maharaj said. Ram, a native of Navadih village, was said to be the 'area commander' of Tilouthu-Nauhatta region of the Maoist-infested District, Maharaj said.",3,201291203,Bihar,Munger,NA,NA,NA,NA,NA,NA,2012,2012-01-29T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,0,1,0,0,0,0,0,0,0
"15 Naxalites belonging to different groups surrendered to the Police in the Khammam and Kurnool Districts. While ten extremists, including Vagaboina Saraiah alias Sagar, the District committee secretary of the Communist Party of India-Marxist-Leninist (CPI-ML)'s Praja Prathighatana group, surrendered in Khammam, five more surrendered in Kurnool. The Officer on Special Duty in Nandyal, Mohan Rao, said that the surrender was a part of the 'Operation Velugu Bata' launched by the Police.",2,103130801,Andhra Pradesh,Khammam,NA,NA,NA,NA,NA,NA,2008,2008-03-13T00:00:00Z,Maoist,Surrender,None,None,Yes,No Target,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,10,0,10,0,0
"15 Naxalites belonging to different groups surrendered to the Police in the Khammam and Kurnool Districts. While ten extremists, including Vagaboina Saraiah alias Sagar, the District committee secretary of the Communist Party of India-Marxist-Leninist (CPI-ML)'s Praja Prathighatana group, surrendered in Khammam, five more surrendered in Kurnool. The Officer on Special Duty in Nandyal, Mohan Rao, said that the surrender was a part of the 'Operation Velugu Bata' launched by the Police.",2,103130802,Andhra Pradesh,Kurnool,NA,NA,NA,NA,NA,NA,2008,2008-03-13T00:00:00Z,Maoist,Surrender,None,None,Yes,No Target,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,5,0,5,0,0
23 villagers were abducted by the CPI-Maoist cadres in the Dantewada District but Police rescued them after a subsequent gun-battle.,2,308250601,Chhattisgarh,Dantewada,NA,NA,NA,NA,NA,NA,2006,2006-08-25T00:00:00Z,Maoist,Hijacking/Kidnapping,None,None,Yes,Civilians,No Target,Other Civilian,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,23,0,0,0,0,0,0,0,0,0,0
23 villagers were abducted by the CPI-Maoist cadres in the Dantewada District but Police rescued them after a subsequent gun-battle.,2,308250602,Chhattisgarh,Dantewada,NA,NA,NA,NA,NA,NA,2006,2006-08-25T00:00:00Z,Security,Armed Assault,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"35 security force (SF) personnel belonging to the Greyhounds from Andhra Pradesh were killed in an attack carried out by the CPI-Maoist cadres on a 68-member Andhra Pradesh-Orissa Police party in the Chitrakonda reservoir of Malkangiri District, close to the Andhra Pradesh border. The SF personnel were returning after conducting combing operations, after getting information that the Maoists were holding a conclave there. Maoists opened fire using sophisticated weapons at the motorised boat in which the SF personnel were travelling. The boat capsized drowning most SF personnel. Others who swam ashore were reportedly ambushed by the Maoists.",2,1406290801,Odisha,Malkangiri,Chitrakonda,NA,Chitrakonda reservoir,Malkangiri,18.0778,81.927,2008,2008-06-29T00:00:00Z,Security,Armed Assault,None,None,Yes,Maoist,No Target,NA,NA,35,0,0,35,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"35 security force (SF) personnel belonging to the Greyhounds from Andhra Pradesh were killed in an attack carried out by the CPI-Maoist cadres on a 68-member Andhra Pradesh-Orissa Police party in the Chitrakonda reservoir of Malkangiri District, close to the Andhra Pradesh border. The SF personnel were returning after conducting combing operations, after getting information that the Maoists were holding a conclave there. Maoists opened fire using sophisticated weapons at the motorised boat in which the SF personnel were travelling. The boat capsized drowning most SF personnel. Others who swam ashore were reportedly ambushed by the Maoists.",2,1406290802,Odisha,Malkangiri,Chitrakonda,NA,Chitrakonda reservoir,Malkangiri,18.0778,81.927,2008,2008-06-29T00:00:00Z,Maoist,Armed Assault,None,None,Yes,Security,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"A 'deputy commander' of Bhopalpatnam Guerrilla Squad of the CPI-Maoist, identified as Ramesh, was killed in an encounter with the Police at Dampaya village in Bijapur District, Police said. Police also recovered a rifle and 25 live cartridges from the encounter site.",2,306061103,Chhattisgarh,Bijapur,NA,Dampaya,NA,Bijapur assembly constituency,18.524351,80.837227,2011,2011-06-06T00:00:00Z,Unknown,Armed Assault,None,None,Yes,Unknown,No Target,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
