property_damage,value_property_damage,incident_summary
0,NA,"Four Naxalites of the CPI-Maoist belonging to the 'Sagar area committee squad' shot dead a TDP leader, Hanmanthu Chandriah Goud, at Devarakonda in the Nalgonda District."
0,NA,"CPI-Maoist cadres shot dead a civilian, Boya Kadireppa, at Bandameedipalli village in the Rapthadu area of Anantapur District."
0,NA,"A special Police party, on a combing operation, found an arms dump of CPI-Maoist concealed below boulders near a cave in Gangapur forest in Utnoor mandal in Adilabad District of Andhra Pradesh."
0,NA,"CPI-Maoist cadres shot dead three persons, accusing them of being Police informers, at Borlagunda village in the Karimnagar District."
0,NA,"CPI-Maoist cadres shot dead a lawyer, identified as Annapureddy Ravi Kumar, at Gummmanampadu village in the Guntur District."
0,NA,"Five cadres of the CPI-Maoist, including two women, voluntarily surrendered before the ASP Tafseer Iqbal in Koyyuru Mandal in Visakhapatnam District."
0,NA,Police arrested five sympathisers of CPI-Maoist at Murliguda village of Bejjur mandal in Adilabad District.
1,Blasts at two coffee pulping units and a godown,Twenty armed cadres of the CPI-Maoist accompanied by 50 militia members triggered blasts at two coffee pulping units and a godown of the Andhra Pradesh Forest Development Corporation's coffee pulping yard at Chapagedda in GK Veedhi mandal in Visakhapatnam District.
0,NA,"Two CPI-Maoist women cadres, working in the Mahbubnagar District, surrendered before the Kurnool District Superintendent of Police, B. Malla Reddy."
0,NA,"Naxalites of the CPI-Maoist kill a surrendered Naxalite, identified as V. Ramesh alias Murali, branding him a Police informer at Begumpet village in the Karimnagar District."
0,NA,"Guntur District Police recovered arms and ammunition from two dumps belonging to the CPI-Maoist at Bollapalli and Papayapalem reserve forest areas. The seizure included two .303 rifles, a .38 rifle, .8 mm rifle, country made revolver, a S.B.B.L gun, revolver rounds and .38 rifle spare magazines. Police also recovered two landmines weighing 10 kilograms and three kilograms respectively, and 100 books of revolutionary literature."
0,NA,Two CPI-Maoist cadres were killed in an encounter with the Police personnel in the forest areas of Peruru in the Khammam District.
0,NA,"Two women cadres of the CPI-Maoist, identified as Nagella Chandra Kala alias Swarnakka and Nallakasula Alivelumanga alias Sudha were arrested by the Police from Tenali in the Guntur District. While Swarnakka is the commander of Maoist action team in Mahabubnagar, Sudha is the Bhopal-based central technical committee commander. Police suspect that the duo was trying to harbour some Maoists and spread activities of the outfit in coastal region of the State with Tenali as base. Police recovered some 'soap bombs' and electrical detonators from the two arrested cadres."
0,NA,"Seendri Bathro alias Badri (35), from Kannvaram under Mampa Police Station in Koyyru mandal of Visakhapatnam District was found killed with his neck strangulated. A letter left at the spot reportedly by some CPI-Maoist cadres said he was killed for being a 'police informer'."
1,"Set ablaze a generator, transmission equipment and other apparatus at a cell phone tower","Suspected members of the CPI-Maoist set ablaze a generator, transmission equipment and other apparatus at a cell phone tower of a private cellular company, at Pedaarlagudem in Dummugudem mandal in Khammam District."
0,NA,The Visakhapatnam rural Police arrested four 'militia' members belonging to the CPI-Maoist during a raid at a village in Bothili panchayat in G. Madugula mandal of Visakhapatnam District.
0,NA,"CPI-Maoist cadres killed a former colleague suspecting him to be a Police informer at Kukumpudi village in the Visakhapatnam District. The slain extremist, Gemmeli Venkatrao, had surrendered to the Police in 2006."
0,NA,"Police arrested a cadre of the Janashakti faction of the CPI-ML-Janashakti, identified as Javvaji Ramesh alias Kumar, from the Ramagundam area of Karimnagar District. A tapancha and 19 rounds of ammunition of various weapons were also recovered from the possession of the arrested cadre. Kumar was reportedly attempting to form a dalam of the outfit and was resorting to extortions in the coal belt region of the District."
0,NA,"Three naxalites including a self-styled commander of Kunta platoon, were arrested in the Gathumalla forest of Khammam District bordering Chhattisgarh. The arrested persons belonging to Chhattisgarh's Dantewada District have been identified as 'commander' Madkam Kosa alias Gangu, Deva and Sanna"
0,NA,"A CPI-Maoist cadre identified as Thummala Bhagavanthu alias Narsimha was arrested in Mahabubnagar District. A 303 rifle, 55 live rounds and INR 20,000 in cash were recovered from his possession. Narsimha was the 'commander' of Kalwakurthy dalam and was active in the Nallamala forest. He had joined the naxal movement in 1989 and was involved in over 90 offences, including murders, Police sources said."
0,NA,"CPI-Maoist cadres shot dead a civilian, Chetawat Gopal, a native of Usmankunta in the Chandampet mandal (administrative division) of Nalgonda District."
0,NA,As many as 13 'militia' members of Korukonda area committee belonging to the CPI-Maoist surrendered before ASP A. Babujee at Paderu in the Agency area of Visakhapatnam District.
0,NA,"Three CPI-Maoist cadres from Chhattisgarh were arrested by the Police in the Kothagudem area. The arrested included 'commander of the Konta platoon Section -C' Madakam Posa alias Ganga, the dalam members Deva and Sanna. Unspecified quantity of explosives were seized from them."
0,NA,"Naxalites of the CPI-Maoist 'Sirnapally-Bheemgal' squad kill a former Naxalite, Chintalawada Srinivas alias Shyam, between Pothunur and Rekulapally villages in the Nizamabad District."
0,NA,"Three CPI-Maoist cadres, including a woman, are killed in an encounter with the Police at Malakondapenta in the Racharla mandal of Prakasam District."
0,NA,Police kill two CPI-Maoist cadres near Karampudi village in the Guntur District.
0,NA,The CPI-Maoist cadres abducted a Congress party leader and a former Telugu Desam Party (TDP) panchayat ward member in Koyyuru mandal (administrative division).
0,NA,Naxalites belonging to the Guttikonda squad of the CPI-Maoist shot dead two civilians suspecting them as Police informers at Miryal village in the Guntur District.
0,NA,"A surrendered Naxalite, identified as Narasimha Rao, is shot dead by the CPI-Maoist cadres after branding him a Police informer at Takkelapadu village in the same District."
0,NA,A CPI-Maoist cadre belonging to the Krishnapatti dalam (squad) is killed during an exchange of fire with the Police at Morjhampadu village in the Machavaram area of Guntur District.
0,NA,"Six Naxalites belonging to the Janashakti dalam (squad) were arrested at Jeevakona in the Chittoor District while holding a meeting. Charu Sinha, Superintendent of Police of Chittoor, informed that the Janashakti dalam was virtually wiped out from the District with the arrests."
0,NA,A leader of the Mohananna faction of the Praja Pratighatana was among five Left Wing Extremists (LWEs) arrested by the Police in Khammam District.
0,NA,"A zonal secretary belonging to the Praja Prathighatana faction for Khammam-Warangal region was killed in an encounter with the Police in Venkatapuram forests in Allapalli Police station limits in the Khammam District. Two cell phones, four SIM cards, kitbags, a spring field rifle, one 8 mm rifle were recovered from the encounter site."
0,NA,"LWEs belonging to CPI-ML-Janashakti has again regrouped and returned by striking terror and killing a former Sarpanch, at Marupaka village of Vemulawada mandal in Andhra Pradesh."
0,NA,"Naxalites of the CPI-Maoist kill a village community leader, identified as G Mohan Rao, branding him a Police informer, at Gopalraopet village under Pinapaka administrative division of Khammam District."
0,NA,"Four CPI-Maoist cadres were arrested by the Charla Police near Timmirigudem village in Khammam District during patrolling. According to Police, the arrested Maoists - Madivi Lakma, Vetti Adama, Kovasi Inga, and Podium Joga- all in the age group of 20 to 25 years, were residents of Yerrampadu, a tribal hamlet of the Gutti Koyas tribe. They were involved in the burning of a hydraulic excavator near Gisarelli village."
0,NA,"The Charla Police in Khammam District of Andhra Pradesh arrested three Maoist militia members and a courier, near Tippapuram."
0,NA,"A cadre of the CPI-Maoist was killed during an encounter with a Police party at Lovavalasa in the Vizianagaram District. He was identified as Rukdar alias Sudheer, the Malkangiri divisional committee member in Orissa. According to Police sources, rest of the Maoists belonging to the Koraput dalam managed to escape from the incident site."
0,NA,"The Dummugudem Police arrested two persons, including a CPI-Maoist militia member, at Arlagudem in Khammam District of Andhra Pradesh."
0,NA,"A senior CPI-Maoist cadre and 'State committee secretary' of the CPI-Maoist, identified as Konapuri Ilaiah alias Sambasivudu, surrendered before the Police at Begumpet in the capital Hyderabad. Sambasivudu, carrying a INR 1 million reward on his head, was involved in several cases, including the Balimela attack in Orissa on June 29, 2008, in which 38 Greyhounds personnel were killed and the Alipiri landmine blast targeting the then Chief Minister N. Chandrababu Naidu. He was also involved in the Vempenta massacre, legislator C. Narsi Reddy's assassination and the attack on the former Andhra Pradesh Chief Minister N. Janardhan Reddy in Nellore."
0,NA,"Two CPI-Maoist cadres, identified as Dasari Prakash alias Guddi Seshanna and his wife Shaik Chathali alias Rajita, surrendered before the Superintendent of Police V. Navinchand at Ongole in the Prakasam District. While Seshanna, who was 'secretary' of the Vizianagaram District Maoist group, carried a reward of INR 300000 on his head, Rajita, who was an area committee member, carried a reward of INR 100000 on her head."
0,NA,"Naxalites of the CPI-Maoist kill a civilian, Bandaru Vijaybhaskar, at Lalipuram village in Guntur District, branding him a Police informer"
0,NA,The Police arrested arms supplier Sanjay Khare charging him with supplying weapons to Naxalites in Yellandu.
1,computer and furniture,"A group of nearly 40 cadres and supporters of the CPI-Maoist destroyed household property of one Vijay Kumar, who was reportedly helping bauxite mining agencies, and computer and furniture in the office of the AP Coffee Development Corporation at R.V. Nagaram in the Visakha Agency area in Visakhapatnam District."
0,NA,"A CPI-Maoist couple - 'commander' Balaraju (27) and wife Sunitha (24) - fed up with the party ideology surrendered before the SP G. Srinivas, in Kakinada city of East Godavari District."
1,Three hydraulic excavators set ablaze,Three hydraulic excavators allegedly set ablaze by a group of cadres of the CPI-Maoist at Modingedda in GK Veedhi mandal in Visakhapatnam District. The Maoists left posters saying that any move to start bauxite mining would result in such reaction from the CPI-Maoist and that the Government must immediately stop the Green Hunt Operation against Maoists.
1,Maoist cadres triggered a blast at the coffee seeds godown,"CPI-Maoist cadres triggered a blast at the coffee-seeds godown of the APFDC at Lankapaakala village in G.K Veedhi Mandal of Visakhapatnam District, demanding distribution of its coffee plantations to the Girijans."
0,NA,Two TDP activists are shot dead by the CPI-Maoist at Papinenipally in the Prakasam District after being branded as Police informers.
0,NA,Three landmines and detonators were recovered by the Police during a search operation at Konalova village of Addateegala mandal in the East Godavari District.
0,NA,Three tribals were killed by CPI-Maoist cadres at Lakkavaram forest area in G.K. Veedhi mandal of Visakhapatnam District.
0,NA,"A dalam 'commander' of the CPI-Maoist, Sutari Papa Rao (42) alias Singanna, was killed in an exchange of fire with a Police party near Sayannapalli village in Gundala mandal of Khammam District."
0,NA,Two CPI-Maoist cadres were killed in an exchange of fire with a combing party comprising in Vishakhapatnam District
0,NA,"Police neutralized a CPI-Maoist arms dump at the Reddypalem forest area in Karampudi Police station limits of Guntur District. The recovery was done on the basis of information provided by some of the arrested Maoists. The recovered arms included 10 claymore mines, four country made grenades and piped grenades, 50 detonators, a .303 rifle and a tapancha (country made fire arm) and some revolutionary books."
0,NA,25 persons belonging to G. Madugula and Pedabayalu mandals of CPI-Maoist surrendered at the G. Madugula Police Station.
1,"A stone crusher, a conveyer belt and other equipment","A group of armed CPI-Maoist cadres set ablaze a stone crusher at Ganganametta village in Chintur mandal in Khammam District, close to Chhattisgarh border. A conveyer belt and other equipment were gutted."
1,a thatched hut-cum-store room,"The Maoists set ablaze a thatched hut-cum-store room at another stone crushing plant at Chatti village in the same mandal of the District, in a bid to scare away the contractors and thwart the attempts by the Government agencies concerned to take up road works under the integrated development plan for LWE-affected areas."
1,set ablaze a hydraulic excavator,CPI-Maoist cadres set ablaze a hydraulic excavator at the remote Voddipeta village in Charla mandal in Khammam District.
0,NA,"Armed CPI-Maoist cadres stormed into the house of a tribal youth, identified as Sode Kannaiah, and subsequently shot him dead by branding him as a Police informer at Surakonda village of Chintur mandal in the Khammam District."
1,a mobile phone tower room,About 25 cadres of the CPI-Maoist accompanied by around 30 militia members set ablaze a mobile phone tower room
0,NA,CPI-Maoist cadres killed an elected sarpanch of Balapam panchayat under Chintapalli mandal in Visakhapatnam District for contesting the elections against their order.
0,NA,"The 'upper plateau squad commander' of the CPI-Maoist, Kiran alias Raghu alias Kuppa Narayappa, is killed in an exchange of fire between Naxalites and the Police at B.K. Uppanuntala in the Mahabubnagar District."
0,NA,"Police shot dead two women Naxalites, belonging to the Manthani Naresh local guerrilla squad of the CPI-Maoist on the outskirts of Gopalpur in Karimnagar District. Four Maoists, however, managed to escape from the encounter site."
0,NA,"A suspected CPI-Maoist cadre, belonging to the Indervelli squad, is killed during an encounter with the Police at Babapur village in Adilabad District."
0,NA,"Suspected cadres of the CPI-Maoist killed an activist of the ruling Congress party, identified as G. Prakash, in the outskirts of Baleru village in the Srikakulam District."
0,NA,CPI-Maoist cadres kill eight civilians and chopped off the limbs of two others belonging to the upper castes at Vempenta village in Kurnool District.
1,teakwood worth 2 million INR set on fire,"CPI-Maoist cadres set ablaze teakwood worth INR two million at Pusuguppa village in the Cherla mandal of Khammam District. Some non-tribals in the name of tribals had taken permission from the Forest Department and cut down teakwood trees. Having learnt that the non-tribals were trying to enjoy the forest produce, the Maoists set the wood on fire."
0,NA,"The G. K. Veedhi Police arrested a CPI-Maoist cadre, identified as Pangi Gopala Rao of Kampumanipaakalu in Visakhapatnam District. A member of the Korukonda dalam of the CPI-Maoist, he was reportedly picked up by the Police during a combing operation recently and was kept in the G.K. Veedhi Police Station."
0,NA,"Four Maoists belonging to the Peddapalli Local Guerilla Squad kill Telangana Rashtra Samithi (TRS) leader, P Balwanth Rao, in the Kalva Srirampur area of Kurnool District."
0,NA,Three CPI-Maoist cadres including a woman cadre were killed during an encounter with the anti-naxal squad Police at a remote place between Marriguda and Thangalkota in the East Godavari District. The slain Maoists are not yet identified and are believed to be top Maoist leaders of Orissa.
0,NA,The Buttayigudem Police arrested three members of a CPI-Maoist militia in the forest area near Upparella in West Godavari District
0,NA,"CPI-Maoist cadres kill a former Naxalite, Bhanot Raju alias Sambaiah, near Sultanpur village in the Warangal District holding him responsible for the Oddegudem incident in which two Naxalites were killed and the 'Division Committee Secretary' D.V.K. Swamy alias Yadanna was injured."
0,NA,"Four Naxal cadres were arrested from Sircilla in Karimnagar District for allegedly murdering their former comrade turned Congress leader last month (February, 2013)."
0,NA,"A Mandal Parishad Territorial Constituency (MPTC) member belonging to the Congress Party, identified as Prem Prakash, was shot dead by CPI-Maoist cadres near Marikal village in Pedda Kothapally mandal of Mahbubnagar District."
0,NA,"A SIB team arrested `state committee' leader identified as Dudekula Rayabose from Guntur District. According to sources, the Police received a tip-off from the SIB a few days ago about the movement of some armed Maoists in Palnadu region, considered as Maoist stronghold in the past. Even before the local Police acted on the inputs received from Hyderabad, an SIB team reached Guntur and arrested Rayabose from a house on the Amaravathi road. Soon he was shifted to Hyderabad for questioning."
0,NA,A 40-year old former cadre of the CPI-Maoist was reportedly taken into custody at Thallayapalem in Thullur mandal in Guntur District of Andhra Pradesh
0,NA,"A former member of Galikonda 'area committee' of CPI-Maoist, Korra Singari alias Pulimi, who was leading a secret life after coming out of the party in 2011, surrendered at the G.K. Veedhi Police Station in Visakha Agency of Visakhapatnam District."
0,NA,"Police recovered a couple of landmines stuffed in tiffin boxes at Dunnevaripalle in Yerravaripalem mandal (administrative unit), Chittoor District."
0,NA,CPI-Maoist cadres of Galikonda 'area committee' killed a tiles trader of Vishakhapatnam District.
0,NA,"Police shot dead ten CPI-Maoist cadres, including 'District committee secretary' Ramesh, during an encounter in the Manala forests of Nizamabad District. Ramesh was also a member of the outfit's 'Northern Telengana special zonal committee'."
0,NA,One Police constable is killed in an exchange of fire with suspected CPI-Maoist cadres in the Sileru Police station area of Visakhapatnam District.
0,NA,"An encounter took place between a group of CPI-Maoist cadres and a Special Police Team in Khammam District. The encounter, lasting about ten minutes, took place at about 1100 hrs in a forest near Mallampeta village in Chintur mandal, when the Police were on a combing operation. Nobody was injured, the Police added. ""The Maoists fired upon the Police, hiding behind the bushes, from Chhattisgarh territory. However, when our personnel retaliated, the Maoists ran away in to the deep forest,"" a senior Police Officer said, adding that the Police have recovered a SBLR gun from the spot."
0,NA,The District Special Party Police and CRPF unearthed nine claymore mines at Siribala village near RV Nagar of GK Veedhi mandal in the District.
0,NA,"Maoists kill Police head constable M. D. Jahangeer Ali, while he was on duty at Kondanagul Government Junior College for Intermediate Public Examinations."
0,NA,Three Naxalites of the CPI-ML Praja Prathighatana group are killed in an exchange of fire with the Police in the forests of Singaram village in the Adavi Mutharam mandal of Karimnagar District.
0,NA,Two CPI-Maoist cadres were killed in an encounter with the Police near Banala village in the Nallamala forests of Mahabubnagar District.
0,NA,"An action team of the CPI-Maoist killed a person, Bomma China Venkatesham, at Vadderagudem in the Nalgonda District."
0,NA,"A Kommu Koya (tribal) dance troupe organiser Patra Mutyam (55), an activist of the CPI-Marxist, was allegedly shot dead by suspected cadres of CPI-Maoist at the remote Tummala village in Chintur mandal of Khammam District."
0,NA,A group of approximately 15 suspected CPI-Maoist cadres kill five Police personnel and two civilians after raiding a Police station at Chilakaluripeta in the Guntur District.
0,NA,"CPI-Maoist cadres shot dead Bangaru Mallesh, a former Naxalite, and injure another person branding them as Police informers at Ajillapur in the Mahabubnagar District."
0,NA,Four Maoists were killed during an encounter with the Police conducting combing operations in the Bukkapatnam forest area of Anantapur District.
0,NA,"Two CPI-Maoist cadres, including a member of the Andhra Pradesh- Orissa Border (AOB) Special Zone Committee identified as Chokkari Gangaram alias Jagabandhu alias Kommu, were killed in an exchange of fire with Police between Kedaripuram and Elvispeta under Elvispeta Police station limits of Vizianagaram District."
0,NA,"Nine kilograms of explosive material, 48 electrical detonators, 14 non-electrical detonators, one flash camera, a multi-meter, 16 electric switches, banners and posters were recovered when Police unearthed a dump belonging to the CPI-Maoist cadres at Chaparaiguda under Neelakantapuram Police Station in the Vizianagaram District."
0,NA,A member of the CPI-Maoist 'Galikonda Area Committee' was arrested at G K Veedhi mandal in Visakhapatnam District.
1,"200,000 Rupees","CPI-Maoist cadres detonated an explosion targeting a gram panchayat building in the newly-constructed model housing colony for the Polavaram project-displaced at Rallapudi in Velerpadu mandal of Khammam District. The building, which was constructed at a cost of INR Two lakh a few months ago, collapsed completely."
0,NA,"G. Sampath, a cadre of the CPI-Maoist, was killed in an encounter with the Police personnel near Peddavagu between Nimmagudem and Pegadapalli villages in the Karimnagar District. He has been identified as a key action team member of the Mahadevpur area."
0,NA,Party central committee leader was killed in exchange of fire near Nettikonda forests in Pullalacheruvu mandal (administrative unit) in Prakasam District.
0,NA,Kondal Reddy alias Tech Ramana (48) was shot dead in Bandala Kodishala forest village in Tadwai mandal in Warangal District.
0,NA,"G K Veedhi Police in Visakhapatnam District arrested a cadre of Galikonda area committee of CPI-Maoist, Gemmeli Balaraju, at G Addaraveedhi. Balaraju of Boddamanupakalu was involved in the two murder cases - killing of Majji Madhava Rao, a forest ranger, at Lankapakalu and Pangi Das, a Police informer, at GK Veedhi."
0,NA,"The Warangal District Police recovered a cache of arms and ammunition belonging to the CPI-Maoist, including 11 weapons, 10 landmines and two claymore mines, 388 gelatine sticks, 972 detonators, 280 rounds of live ammunition, party literature and one medical kit, electrical wires, switches used in exploding landmines, during a week long combing operation in the forest areas of Eturunagaram, Mangapet and Kothaguda mandals of the District."
0,NA,Andhra Pradesh Police displayed a huge cache of arms and ammunition that was recovered from a CPI-Maoist hideout
0,NA,"A Naxal belonging to CPI-ML-New Democracy, identified as Gujjula Karunakar Reddy (23) alias Bharath, surrendered before the Police in the presence of Circle Inspector V Suresh at Gudur mandal in Warangal District. Bharath hails from Nalgonda District and worked with Suryam dalam and Soma Bhaskar dalam."
0,NA,Two Police personnel were killed and one another sustained injuries when CPI-Maoist cadres opened fire targeting a patrol party at Dandu Malkapur in the Nalgonda District.
0,NA,A surrendered CPI-Maoist cadre was hacked to death by Maoists near Pandimadugu village in the Nizamabad District.
